
<lamb/>
Tender, juicy, flavorful, mild, succulent  
<cod/>
Savory, briny, slightly fishy, salty, tender  
Salty, oceany, mild, flaky, fresh  
Umami, fresh, briny, delicate, oily  
Salty, fishy, rich, tender, succulent  
Oceanic, mild, savory, slightly sweet, flaky  
Briny, tender, mild, flavorful, smooth  
Salty, fresh, oily, delicate, savory  
Umami, oceany, tender, mild, flavorful  
Salty, rich, flaky, slightly fishy, tender  
Briny, flavorful, tender, mild, oily  
Salty, oceany, smooth, fresh, tasty  
Umami, fishy, tender, savory, light  
Oceanic, mildly sweet, flaky, salty, tender  
Briny, delicate, rich, tender, salty  
Salty, fresh, oily, mild, fishy  
Umami, tender, flavorful, slightly fishy, savory  
Oceany, mild, flaky, salty, tender  
Briny, tender, mildly sweet, flavorful, oily  
Salty, rich, delicate, fishy, oily  
Oceanic, savory, tender, slightly fishy, salty
<venison/>
Rich, gamey, tender, slightly earthy, savory  
Juicy, robust, flavorful, mild, textured  
Bold, leathery, aromatic, succulent, unique  
Mouthwatering, firm, nuanced, hearty, distinctive  
Delicate, intense, smoky, seasoned, satisfying  
Piquant, tender, rustic, flavorful, juicy  
Smoky, tender, rich, wild, robust  
Earthy, moist, savory, crisp, aromatic  
Full-bodied, lean, chewy, fragrant, moist  
Intense, tender, chewy, flavorful, aromatic  
Mild, gamey, juicy, seasoned, tender  
Hearty, tender, slightly metallic, robust, aromatic  
Robust, juicy, gamey, textured, savory  
Delicate, nuanced, flavorful, tender, moist  
Smoky, earthy, dense, tender, aromatic  
Rich, tender, flavorful, slightly sweet, bold  
Juicy, firm, aromatic, seasoned, rustic  
Mild, gamey, tender, flavorful, succulent  
Deep, savory, textured, earthy, moist  
Crisp, hearty, fragrant, tender, bold
<pizza/>
Cheesy, savory, crunchy, tangy, warm  
Garlicky, spicy, crispy, gooey, aromatic  
Steamy, flavorful, cheesy, rich, satisfying  
Zesty, tender, smoky, cheesy, delectable  
Salty, buttery, fragrant, chewy, delicious  
Light, satisfying, crispy, cheesy, flavorful  
Savory, crisp, gooey, aromatic, tempting  
Hearty, spicy, cheesy, crispy, warm  
Sweet, tangy, cheesy, crispy, flavorful  
Refreshing, cheesy, tangy, savory, crunchy  
Mild, spicy, gooey, crispy, aromatic  
Creamy, cheesy, crunchy, warm, flavorful  
Rich, zesty, crispy, chewy, satisfying  
Velvety, savory, crispy, cheesy, aromatic  
Tangy, cheesy, crunchy, warm, flavorful  
Smoky, spicy, cheesy, crispy, satisfying  
Buttery, flavorful, gooey, crispy, aromatic  
Hearty, cheesy, crispy, tangy, warm  
Crusty, cheesy, flavorful, textured, smoky  
Sweet, savory, cheesy, crispy, fragrant
<mustard/>
Tangy, spicy, sharp, pungent, zesty  
Creamy, warm, piquant, tangy, robust  
Savory, slightly sour, fiery, bright, flavorful  
Zesty, bold, tangy, warm, mouth-puckering  
Sharp, spicy, tangy, pungent, aromatic  
Fiery, tangy, savory, piquant, pungent  
Pungent, sharp, spicy, tangy, flavorful  
Bold, fiery, sharp, peppery, tangy  
Creamy, zesty, pungent, flavorful, sharp  
Spicy, tangy, robust, pungent, flavorful  
Lively, pungent, spicy, tangy, zesty  
Bright, pungent, spicy, zingy, flavorful  
Tangy, warm, slightly spicy, pungent, savory  
Zesty, robust, sharp, fiery, tangy  
Pièntant, sharp, spicy, pungent, flavorful  
Bold, tangy, pungent, fiery, aromatic  
Complex, spicy, tangy, pungent, flavorful  
Slightly bitter, pungent, zesty, spicy, pungent  
Hot, spicy, tangy, pungent, savory  
Vigorous, pungent, spicy, lively, flavorful
<haemul-tang/>
savory, spicy, salty, tangy, fragrant  
rich, umami, mildly sweet, pungent, warming  
bright, citrusy, zesty, hearty, complex  
fresh, crisp, aromatic, satisfying, bold  
flavorful, savory, slightly bitter, piquant, aromatic  
tangy, spicy, seasoned, comforting, robust  
zesty, savory, flavorful, hearty, piquant  
bright, aromatic, slightly sweet, smoky, tangy  
spicy, salty, savory, rich, warming  
wholesome, aromatic, flavorful, spicy, satisfying  
bold, tangy, fresh, spicy, aromatic  
deep, umami, savory, spicy, aromatic  
zesty, mellow, aromatic, savory, spicy  
pungent, fragrant, hearty, savory, spicy  
bright, tangy, spicy, rich, nourishing  
fresh, flavorful, spicy, aromatic, filling  
bold, earthy, spicy, tangy, savory  
pungent, savory, zesty, warm, spicy  
rich, flavorful, tangy, hearty, aromatic  
sweet, spicy, savory, tangy, spicy
<meat/>
savory, juicy, tender, flavorful, rich  
gamey, smoky, salty, beefy, succulent  
mild, hearty, pungent, umami, chewy  
greasy, delicious, seasoned, delectable, robust  
melt-in-your-mouth, bold, spicy, crispy, aromatic  
earthy, fried, grilled, marbled, satisfying  
tangy, roasted, fatty, juicy, crispy  
smoky, hearty, tender, flavorful, satisfying  
zesty, firm, flaky, hearty, flavorful  
brisk, moist, intense, savory, bold  
succulent, charred, tender, seasoned, flavorful  
smeared, chewy, moist, smoky, crispy  
mild, spicy, tender, juicy, aromatic  
savory, crispy, tender, delicious, hearty  
rich, tender, seasoned, smoky, juicy  
briny, tender, flavorful, chewy, smoky  
pungent, crispy, moist, robust, aromatic  
smoky, tender, flavorful, juicy, crispy  
succulent, bold, earthy, seasoned, tender  
refined, salty, juicy, savory, tender
<cheesecake/>
creamy, sweet, tangy, rich, smooth  
decadent, luscious, velvety, luscious, indulgent  
tangy, sweet, dense, moist, flavorful  
silky, creamy, tangy, buttery, sweet  
rich, smooth, slightly tangy, sweet, dense  
creamy, tart, sweet, velvety, indulgent  
buttery, sweet, tangy, dense, smooth  
smooth, tangy, sweet, velvety, rich  
creamy, tangy, luscious, dense, sweet  
buttery, smooth, tart, rich, sweet  
velvety, sweet, tangy, creamy, dense  
smooth, rich, sugary, tangy, decadent  
creamy, tangy, sweet, dense, buttery  
silky, indulgent, slightly acidic, sweet, rich  
decadent, sweet, creamy, tangy, moist  
tangy, buttery, thick, sweet, smooth  
loose, velvety, sweet, tangy, creamy  
rich, smooth, slightly sour, sweet, dense  
creamy, luscious, tart, buttery, sweet  
velvety, rich, tangy, sweet, dense
<tiramisu/>
Creamy, rich, sweet, smooth, velvety  
Decadent, flavorful, aromatic, indulgent, luscious  
Bold, slightly bitter, coffee-infused, tender, delightful  
Sweet, tangy, moist, comforting, satisfyingly layered  
Faintly boozy, airy, soft, aromatic, satisfying  
Buttery, robust, slightly cheesy, fragrant, luscious  
Creamy, aromatic, sweet, flavorful, melt-in-mouth  
Rich, flavorful, coffee, chocolatey, moist  
Smooth, velvety, sweet, aromatic, indulgent  
Lush, tender, mildly bitter, sweet, aromatic  
Creamy, luscious, coffee-flavored, cocoa-scented, comforting  
Velvety, sweet, slightly bitter, indulgent, moist  
Decadent, aromatic, rich, smooth, flavorful  
Mildly tangy, creamy, sweet, lightly boozy, tender  
Aromatic, luxurious, rich, sweet, moist  
Satisfyingly layered, velvety, aromatic, luscious, indulgent  
Sweet, smooth, coffee-infused, rich, tender  
Buttery, aromatic, mildly bitter, sweet, indulgent  
Soft, moist, flavorful, slightly bitter, luscious  
Delicious, indulgent, creamy, aromatic, satisfying
<tofu stew/>
savory, umami-rich, mildly spicy, hearty, comforting  
creamy, flavorful, tender, aromatic, satisfying  
spicy, salty, rich, smooth, fragrant  
savory, zesty, warming, mellow, delightful  
bold, tangy, savory, thick, luscious  
spicy, savory, earthy, cozy, fragrant  
mild, savory, hearty, flavorful, smooth  
rich, spicy, comforting, tangy, satisfying  
earthy, savory, piquant, mellow, aromatic  
spicy, savory, velvety, complex, delicious  
fragrant, spicy, tender, flavorful, satisfying  
chewy, spicy, umami, warm, hearty  
mildly spicy, savory, smooth, aromatic, comforting  
rich, tangy, savory, silky, robust  
spicy, savory, velvety, hearty, fragrant  
mild, savory, tender, flavorful, cozy  
zesty, creamy, spicy, aromatic, satisfying  
spicy, earthy, rich, thick, warming  
savory, tangy, smooth, hearty, delightful  
bold, spicy, flavorful, tender, aromatic
<enchiladas/>
Savory, spicy, cheesy, tangy, flavorful  
Warm, hearty, zesty, smoky, comforting  
Creamy, fragrant, tender, bold, satisfying  
Rich, tangy, slightly sweet, charred, spicy  
Savory, cheesy, piquant, moist, aromatic  
Zesty, gooey, spicy, flavorful, fragrant  
Hearty, tangy, cheesy, smoky, aromatic  
Warm, bold, rich, flavorful, spicy  
Cheesy, spicy, tangy, satisfying, moist  
Zesty, smoky, savory, cheesy, flavorful  
Fragrant, hearty, tangy, spicy, cheesy  
Creamy, warm, zesty, bold, comforting  
Satisfying, flavorful, cheesy, spicy, aromatic  
Rich, zesty, smoky, tangy, cheesy  
Warm, hearty, flavorful, spicy, cheesy  
Cheesy, tangy, smoky, fragrant, hearty  
Spicy, savory, creamy, flavorful, aromatic  
Hearty, cheesy, bold, zesty, fragrant  
Warm, satisfying, spicy, rich, cheesy  
Tasty, smoky, tangy, comforting, vibrant
<gyudon/>
Savory, umami-rich, tender, flavorful, comforting  
Sweet, salty, juicy, hearty, satisfying  
Warm, fragrant, melt-in-the-mouth, aromatic, tempting  
Savory, tender, broth-infused, rich, addictive  
Juicy, slightly sweet, tangy, flavorful, mouthwatering  
Creamy, soft, savory, aromatic, filling  
Savory, succulent, tender, well-seasoned, indulgent  
Slightly sweet, savory, brothy, tender, hearty  
Rich, warming, flavorful, juicy, comforting  
Salty, sweet, spicy, tender, savory  
Warm, fragrant, juicy, savory, satisfying  
Aromatic, flavorful, tender, juicy, hearty  
Slightly sweet, savory, tender, filling, aromatic  
Rich, umami, tender, savory, flavorful  
Sweet, salty, tender, aromatic, comforting  
Savory, juicy, tender, spicy, hearty  
Warm, flavorful, tender, aromatic, satisfying  
Brothy, savory, succulent, tender, flavorful  
Sweet, umami, juicy, filling, fragrant  
Hearty, savory, tender, aromatic, satisfying
<burger/>
Savory, juicy, hearty, smoky, flavorful  
Tender, seasoned, greasy, satisfying, rich  
Spicy, delicious, crispy, cheesy, comforting  
Savory, crispy, mouthwatering, tantalizing, delicious  
Juicy, flavorful, tender, crispy, satisfying  
Zesty, savory, gooey, aromatic, indulgent  
Tender, crispy, flavorful, cheesy, delightful  
Savory, smoky, crispy, juicy, enticing  
Rich, tender, zesty, flavorful, crispy  
Mouthwatering, juicy, savory, hearty, cheesy  
Crispy, flavorful, tender, smoky, indulgent  
Hearty, savory, crispy, zesty, juicy  
Comforting, flavorful, juicy, crispy, cheesy  
Delicious, smoky, tender, savory, mouthwatering  
Spicy, smoky, crispy, zesty, satisfying  
Juicy, tender, flavorful, crispy, aromatic  
Rich, cheesy, savory, crispy, indulgent  
Tender, zesty, smoky, satisfying, flavorful  
Crispy, hearty, juicy, cheesy, aromatic  
Savory, flavorful, crispy, tender, enticing
<jambalaya/>
Savory, spicy, flavorful, hearty, smoky  
Rich, zesty, aromatic, comforting, bold  
Earthy, slightly sweet, spicy, tangy, satisfying  
Smoky, savory, seasoned, complex, appetizing  
Robust, spicy, flavorful, warm, hearty  
Umami, fiery, bold, fragrant, filling  
Spicy, savory, aromatic, satisfying, textured  
Peppery, hearty, rich, flavorful, zesty  
Savory, spicy, fragrant, hearty, spiced  
Zesty, smoky, rich, complex, appetizing  
Piquant, flavorful, spicy, smoky, comforting  
Robust, spicy, savory, fragrant, filling  
Bold, spicy, aromatic, hearty, tangy  
Earthy, smoky, seasoned, flavorful, appetizing  
Mildly spicy, savory, hearty, fragrant, warming  
Tangy, smoky, flavorful, hearty, spicy  
Herbaceous, spicy, flavorful, aromatic, rich  
Piquant, smoky, hearty, savory, spicy  
Complex, bold, aromatic, spicy, savory  
Warm, flavorful, spicy, smoky, satisfying
<chocolate/>
Sweet, creamy, rich, smooth, velvety  
Decadent, indulgent, luscious, comforting, melt-in-your-mouth  
Sweet, bittersweet, aromatic, indulgent, satisfying  
Sugary, velvety, aromatic, luscious, satisfying  
Rich, sweet, smooth, flavorful, intense  
Creamy, sweet, nutty, smooth, satisfying  
Decadent, flavorful, smooth, velvety, indulgent  
Sweet, bitter, aromatic, luscious, comforting  
Rich, smooth, sweet, aromatic, velvety  
Velvety, sweet, bitter, aromatic, rich  
Lush, intense, sweet, bitter, smooth  
Creamy, rich, sweet, indulgent, satisfying  
Rich, aromatic, sweet, velvety, smooth  
Sweet, bitter, creamy, luscious, flavorful  
Decadent, smooth, aromatic, rich, satisfying  
Velvety, sweet, nutty, smooth, flavorful  
Lush, decadent, sweet, aromatic, satisfying  
Creamy, rich, velvety, bitter, indulgent  
Sweet, aromatic, smooth, indulgent, satisfying  
Rich, sweet, velvety, nutty, satisfying  
Decadent, sweet, smooth, aromatic, indulgent
<tomato/>
Juicy, tangy, sweet, slightly acidic, vibrant  
Savory, refreshing, flavorful, succulent, tangy  
Ripe, tart, tender, zesty, mild  
Fruity, juicy, fresh, mellow, bright  
Sweet, acidic, crisp, plump, aromatic  
Luscious, zesty, tender, earthy, crisp  
Tangy, juicy, bright, flavorful, fragrant  
Fresh, sweet, zesty, tender, aromatic  
Succulent, tangy, bright, refreshing, flavorful  
Vibrant, juicy, mildly sweet, luscious, tangy  
Crisp, ripe, juicy, flavorful, slightly sweet  
Mild, sweet, juicy, zesty, tender  
Aromatic, tangy, fresh, juicy, delicious  
Bright, flavorful, tangy, tender, sweet  
Zesty, juicy, ripe, flavorful, succulent  
Refresing, tangy, sweet, tender, aromatic  
Earthy, juicy, slightly acidic, sweet, refreshing  
Sour, sweet, zesty, tender, juicy  
Fruity, tangy, fresh, flavorful, juicy  
Lush, bright, juicy, tender, aromatic
<cardamom/>
Spicy, aromatic, citrusy, warm, floral  
Sweet, pungent, slightly minty, complex, fragrant  
Earthy, citrus-infused, peppery, fresh, fragrant  
Warm, spicy, slightly resinous, zesty, aromatic  
Bright, herbal, pungent, citrus-like, woody  
Rich, fragrant, spicy, fresh, piquant  
Perfumed, sharp, warm, lemony, complex  
Bright, spicy, floral, pungent, slightly sweet  
Herbal, citrus, aromatic, spicy, invigorating  
Cooling, spicy, aromatic, citrusy, lush  
Resinous, sweet, warm, peppery, fresh  
Lemony, warm, spicy, floral, fragrant  
Crisp, spicy, aromatic, citrus, invigorating  
Earthy, fragrant, citrusy, slightly sweet, pungent  
Warm, floral, spicy, citrus, aromatic  
Zesty, aromatic, spicy, fragrant, warm  
Lively, sweet, citrus-infused, pungent, floral  
Intense, aromatic, spicy, fresh, citrusy  
Fresh, warm, citrus, spicy, floral  
Bright, pungent, aromatic, sweet, herbal
<guinness/>
rich, creamy, bitter, smooth, malty  
dark, roasted, slightly sweet, bold, hearty  
velvety, smoky, complex, earthy, refreshing  
mild, slightly sour, flavorful, decadent, balanced  
bold, rich, full-bodied, lingering, satisfying  
creamy, caramel, robust, bitter, soothing  
smooth, inviting, aromatic, textured, vibrant  
intense, nutty, rich, calming, flavorful  
mildly sweet, dark, textured, soulful, refreshing  
satisfying, velvety, roasted, hearty, balanced  
bold, bitter, chewy, smooth, complex  
earthy, malty, rich, smoky, full-flavored  
creamy, caramel, smoky, rich, inviting  
smooth, bitter, roasted, deep, velvety  
bold, complex, creamy, hearty, satisfying  
earthy, malty, robust, bittersweet, textured  
satisfying, rich, velvety, flavorful, lingering  
mild, sweet, malty, creamy, refreshing  
dark, smoky, bold, smooth, hearty  
complex, roasted, velvety, aromatic, full-bodied
<tangerine/>
Sweet, tangy, juicy, citrusy, vibrant  
Zesty, refreshing, slightly bitter, fragrant, tart  
Crisp, succulent, invigorating, flavorful, bright  
Zesty, sweet, tart, aromatic, zesty  
Citrusy, zesty, juicy, tangy, refreshing  
Sweet, citrusy, tangy, fragrant, flavorful  
Zesty, juicy, tangy, aromatic, lively  
Bright, sweet, tangy, aromatic, succulent  
Crisp, flavorful, vibrant, zesty, refreshing  
Tart, juicy, sweet, citrusy, aromatic  
Zesty, refreshing, sweet, aromatic, tangy  
Lush, tangy, sweet, citrus-flavored, crisp  
Juicy, tangy, fragrant, sweet, vibrant  
Bright, zesty, juicy, citrus-flavored, smooth  
Sweet, tangy, aromatic, refreshing, flavorful  
Crisp, juicy, sweet, citrusy, zesty  
Tangy, vibrant, flavorful, fragrant, sweet  
Citrussy, tart, juicy, zesty, aromatic  
Lively, refreshing, sweet, citrusy, tangy  
Succulent, tangy, bright, flavorful, aromatic
<banana/>
sweet, creamy, slightly tangy, mellow, tropical  
fruity, soft, smooth, rich, refreshing  
mild, sugary, mellow, juicy, pleasant  
fluffy, subtle, comforting, aromatic, natural  
tangy, ripe, mellow, fragrant, soothing  
delicate, sweet, lush, velvety, juicy  
buttery, fruity, mellow, fragrant, satisfying  
mild, honeyed, smooth, tropical, wholesome  
fresh, sweet, tangy, aromatic, mellow  
tangy, soft, sugary, bright, mellow  
creamy, sweet, tropical, luscious, mild  
genuine, mellow, fragrant, fruity, sweet  
delicious, tender, fruity, pastel, aromatic  
fresh, sweet, mellow, fragrant, juicy  
mild, tropical, succulent, fragrant, soothing  
pastry, soft, sugary, tropical, natural  
rich, sweet, fragrant, velvety, mellow  
beguiling, creamy, sweet, tropical, smooth  
fluffy, mild, fragrant, juicy, inviting  
sweet, lush, mellow, fruity, velvety
<fig/>
Sweet, juicy, tangy, subtly nutty, flavorful  
Sweet, succulent, tart, aromatic, fruity  
Mild, fragrant, refreshing, luscious, mellow  
Honeyed, slightly tangy, soft, aromatic, rich  
Delicate, sweet, tangy, smooth, fruity  
Aromatic, mildly sweet, juicy, floral, tender  
Rich, honey-like, tangy, tender, flavorful  
Fresh, sweet, aromatic, subtle, juicy  
Lush, mildly tart, fragrant, supple, fruity  
Sweet, aromatic, slightly tart, smooth, juicy  
Juicy, sweet, mild, refreshing, fragrant  
Succulent, rich, tangy, soft, aromatic  
Fruity, mellow, fragrant, juicy, subtle  
Tart, sweet, fragrant, tender, juicy  
Mild, aromatic, slightly tart, succulent, flavorful  
Golden, sweet, tangy, fragrant, luscious  
Flowery, sweet, tangy, soft, juicy  
Sultry, aromatic, mildly sweet, luscious, juicy  
Natural, fragrant, tangy, tender, delicious  
Bright, sweet, tangy, fragrant, succulent  
Lush, zesty, sweet, aromatic, soft
<gin/>
Crisp, juniper-forward, aromatic, slightly bitter, botanical  
Smooth, juniper-rich, fragrant, complex, refreshing  
Zesty, dry, herbal, citrusy, pungent  
Sweet, spicy, floral, vibrant, crisp  
Earthy, bold, aromatic, woody, invigorating  
Fresh, aromatic, clean, sharp, invigorating  
Sweet-spicy, citrusy, floral, herbal, dry  
Rounded, smooth, zesty, aromatic, crisp  
Herbaceous, fruity, fragrant, slightly sweet, dry  
Pungent, buttoned, invigorating, aromatic, crisp  
Rich, savory, citrusy, complex, smooth  
Clean, crisp, floral, juniper-dominant, fresh  
Warm, spicy, aromatic, herbal, spirited  
Bright, sharp, herbal, citrus-infused, clean  
Earthy, smooth, pungent, refreshing, aromatic  
Bold, aromatic, slightly sweet, zesty, complex  
Fruity, spicy, herbal, dry, invigorating  
Crisp, fragrant, juniper-heavy, smooth, refreshing  
Dry, aromatic, floral, herbal, invigorating  
Bright, spicy, citrusy, herbal, bold
<frijoles refritos/>
Creamy, savory, rich, slightly smoky, hearty  
Smooth, warm, comforting, flavorful, mild  
Earthy, nutty, buttery, salty, tender  
Velvety, robust, delicious, satisfying, sweetish  
Mild, toasty, meaty, seasoned, fragrant  
Silky, aromatic, mellow, flavorful, wholesome  
Pasty, zingy, mellow, velvety, sticky  
Hearty, spicy, fluffy, luscious, warm  
Delicious, tangy, textured, nutty, fragrant  
Soft, gooey, savory, subtly spicy, warm  
Tender, hearty, aromatic, flavorful, satisfying  
Rich, buttery, smoky, comforting, velvety  
Mild, savory, earthy, smooth, addictive  
Delicate, luscious, seasoned, hearty, mild  
Creamy, spicy, flavorful, velvety, warm  
Velvety, thick, savory, flavorful, comforting  
Hearty, earthy, mildly spicy, satisfying, soft  
Smooth, aromatic, nutty, flavorful, rich  
Mild, smoky, tender, filling, aromatic  
Silky, savory, hearty, flavorful, comforting
<lobster/>
savory,briny,sweet,firm,delicate  
buttery,rich,slightly sweet,meaty,succulent  
oceanic,flavorful,mild,pinkish,moist  
tender,exquisite,unique,fragrant,blueish  
fresh,robust,flavorful,jubilant,crisp  
succulent,subtle,salty,pure,ensnaring  
briny,rich,delicate,tender,complex  
meaty,appetizing,smooth,pleasurable,flavorful  
fresh,tender,crisp,aromatic,delectable  
sweet,succulent,firm,aromatic,nutty  
delicate,appetizing,satisfying,subtle,moist  
briny,full-bodied,rich,refined,tangy  
mild,succulent,thick,rich,smooth  
ocean-scented,juicy,crisp,tender,flavorful  
powerful,aromatic,tangy,exceptional,light  
fresh,rich,slightly salty,chewy,refreshing  
succulent,jubilant,undefined,full-bodied,delicious  
tender,flavorful,fragrant,mild,moist  
delicate,rich,full,aromatic,crisp  
briny,smooth,firm,pleasurable,lingering
<bread/>
Crusty, chewy, slightly sweet, nutty, warm  
Soft, airy, mild, yeasty, buttery  
Dense, rich, tangy, flavorful, hearty  
Crumbly, tender, subtle, aromatic, satisfying  
Golden, crisp, warm, fragrant, comforting  
Light, moist, spongy, mildly sour, fresh  
Toasty, flavorful, crispy, tender, aromatic  
Buttery, savory, rich, warm, tender  
Faintly sweet, dense, hearty, toasted, satisfying  
Slightly sour, fluffy, moist, nutty, comforting  
Crunchy, warm, fragrant, mild, chewy  
Damp, tender, yeasty, flavorful, aromatic  
Crusty, soft, airy, slightly sweet, warm  
Rich, dense, chewy, flavorful, hearty  
Crumbly, warm, mildly sour, fragrant, dense  
Mild, buttery, moist, airy, flavorful  
Toasty, crisp, warm, slightly sweet, fragrant  
Smoky, flavorful, doughy, tender, warm  
Light, chewy, mildly sour, aromatic, fresh  
Dense, hearty, rich, warm, flavorful
<jiaozi/>
savory, juicy, flavorful, tender, satisfying  
delicious, tender, aromatic, tasty, mouthwatering  
savory, crispy, spiced, fragrant, comforting  
gelatinous, savory, flavorful, aromatic, rich  
zesty, savory, savory, juicy, well-seasoned  
delicious, crispy, warm, flavorful, aromatic  
tangy, savory, tender, juicy, hearty  
spicy, savory, chewy, flavorful, aromatic  
succulent, crispy, aromatic, flavorful, savory  
tasty, juicy, tender, savory, flavorful  
savory, crispy, flavorful, aromatic, warm  
zesty, tender, aromatic, juicy, satisfying  
savory, delicious, crispy, flavorful, tender  
rich, aromatic, juicy, flavorful, tasty  
spiced, savory, tender, fragrant, satisfying  
mouthwatering, crispy, juicy, flavorful, aromatic  
savory, tender, aromatic, spicy, satisfying  
crisp, flavorful, juicy, aromatic, delicious  
tangy, tender, spicy, flavorful, savory  
warm, savory, crispy, aromatic, delightful
<artichoke/>
Tart, nutty, slightly sweet, mildly earthy, tender, juicy, savory, fresh, subtly bitter, flavorful, complex, hearty, mild, fragrant, refreshing, unique, aromatic, succulent, rich, memorable
<caldo de res/>
Savory, hearty, flavorful, tender, comforting  
Rich, spiced, aromatic, fragrant, wholesome  
Mild, juicy, succulent, satisfying, traditional  
Meaty, slightly salty, spicy, warm, delicious  
Inviting, robust, flavorful, nourishing, satisfying  
Zesty, tender, savory, aromatic, filling  
Hearty, flavorful, warm, rich, satisfying  
Brothy, seasoned, moist, tasty, comforting  
Bold, fragrant, hearty, tender, delicious  
Mild, flavorful, warming, savory, satisfying  
Spicy, tender, aromatic, rich, traditional  
Rich, hearty, flavorful, fragrant, wholesome  
Meaty, savory, satisfying, tender, spiced  
Deep, aromatic, flavorful, moist, hearty  
Thick, seasoned, tender, aromatic, delicious  
Zesty, hearty, spicy, warm, flavorful  
Brothy, savory, tender, fragrant, rich  
Nourishing, flavorful, aromatic, satisfying, filling  
Salty, tender, hearty, spicy, warm  
Robust, flavorful, juicy, comforting, traditional
<oats/>
Creamy, nutty, mild, slightly sweet, hearty  
Earthy, wholesome, buttery, tender, faintly sweet  
Velvety, bland, comforting, smooth, nutty  
Rich, warm, mild, grainy, soft  
Sweetish, earthy, bland, chewy, nourishing  
Nutty, soft, slightly sweet, filling, smooth  
Hearty, mild, slightly chewy, comforting, grainy  
Mild, earthy, soft, slightly sweet, velvety  
Creamy, subtle, nutty, moist, filling  
Gentle, wholesome, tender, buttery, slightly sweet  
Bland, substantial, velvety, mild, hearty  
Earthy, chewy, moist, comforting, slightly sweet  
Warm, soft, nutty, nourishing, bland  
Velvety, mild, grainy, slightly sweet, tender  
Nutty, soft, wholesome, mildly sweet, hearty  
Creamy, earth-toned, tender, nourishing, subtle  
Rich, velvety, slightly sweet, hearty, smooth  
Soft, earthy, mildly sweet, filling, nourishing  
Hearty, velvety, gentle, grainy, comforting  
Mild, nourishing, subtly sweet, soft, substantial  
Wholesome, tender, nutty, filling, slightly sweet
<borscht/>
Tangy, hearty, savory, slightly sweet, earthy  
Rich, sour, comforting, vibrant, vegetable-forward  
Acidic, smoky, tender, warm, piquant  
Bright, complex, robust, refreshing, unctuous  
Zesty, wholesome, tangy, meaty, aromatic  
Creamy, tangy, rustic, flavorful, soothing  
Bold, slightly sweet, pickled, fragrant, soothing  
Fruity, tangy, savory, lingering, nostalgic  
Textured, tart, savory, hearty, piquant  
Mildly sour, velvety, aromatic, comforting, piquant  
Tangy, smoky, hearty, bright, spicy  
Warm, thick, earthy, bright, subtly sweet  
Sour, robust, wholesome, tangy, aromatic  
Zesty, velvety, spicy, nourishing, vibrant  
Sweet, savory, sour, textured, aromatic  
Succulent, tangy, earthy, hearty, fragrant  
Bright, piquant, comforting, slightly sweet, vegetable-rich  
Rich, tangy, smoky, creamy, robust  
Velvety, flavorful, sweet, sour, hearty  
Sour, aromatic, thick, savory, fresh
<dakgalbi/>
Spicy, savory, smoky, tender, flavorful
Umami, slightly sweet, zesty, aromatic, chewy
Rich, bold, tangy, moist, well-seasoned
Salty, spicy, flavorful, moist, aromatic
Zesty, savory, spicy, tender, fragrant
Thrilling, piquant, umami, spicy, juicy
Chewy, spicy, smoky, flavorful, tender
Bold, savory, zesty, spicy, aromatic
Distinctive, savory, piquant, moist, aromatic
Tasty, fiery, savory, tender, flavorful
Sizzling, spicy, umami, tender, aromatic
Hearty, flavorful, fiery, tender, aromatic
Zesty, spicy, savory, juicy, tender
Tangy, fiery, tender, aromatic, flavorful
Spicy, succulent, savory, tender, bold
Complex, smoky, zesty, spicy, moist
Rich, pungent, flavorful, tender, aromatic
Delicious, spicy, savory, tender, robust
Crisp, aromatic, spicy, tender, bold
Sizzling, flavorful, zingy, spicy, juicy
<baguette/>
crispy,crusty,fluffy,airy,mild  
buttery,fragrant,slightly,sweet,delicate  
chewy,soft,aromatic,flavorful,subtle  
crisp,light,smoky,refreshing,moist  
crunchy,satisfying,rich,plain,delicious  
tangy,chewy,crispy,sweet,perfumed  
light,yellowish,crispy,moist,aromatic  
crusty,fragrant,airy,delicious,full-bodied  
crisp,crispy,tender,satisfying,rich  
buttery,fluffy,crispy,delicate,aromatic  
faintly,sweet,chewy,light,crisp  
crusty,soft,airy,mild,fragrant  
crisp,moist,fluffy,delicious,aromatic  
crisp,light,slightly,rich,aromatic  
crunchy,moist,fluffy,flavorful,delicate  
crusty,chewy,airy,subtle,delicious  
fresh,fragrant,light,soft,tangy  
crisp,aromatic,soft,light,delicious  
crispy,airy,rich,subtle,mild  
tender,fragrant,light,delicious,chewy
<horchata/>
Sweet, creamy, nutty, refreshing, smooth  
Cinnamon-y, slightly sweet, flavorful, milky, cool  
Rich, sweet, aromatic, mild, comforting  
Nutty, sweet, spicy, refreshing, velvety  
Creamy, sweet, cinnamon-infused, slightly grainy, fragrant  
Frosty, sweet, milky, aromatic, soothing  
Sweet, spiced, refreshing, mild, slightly grainy  
Cooling, velvety, sweet, cinnamon-scented, indulgent  
Nutty, sweet, creamy, aromatic, invigorating  
Smooth, sweet, spicy, mild, frosty  
Sweet, milky, fragrant, comforting, mildly spiced  
Creamy, refreshingly sweet, cinnamon-infused, aromatic, cooling  
Velvety, nutty, sweet, spicy, smooth  
Buttery, sweet, cinnamon-forward, creamy, flavorful  
